# 米国・指数ブロック（日本株の「先行」になりやすい）
# 書式: シンボル  名前   ※ # 以降はコメント
^SOX     フィラデルフィア半導体指数
^GSPC    S&P500
^IXIC    ナスダック総合
^DJI     NYダウ
^N225    日経平均
NVDA     エヌビディア
TSM      TSMC(米ADR)
AMD      AMD
MU       マイクロン
INTC     インテル
AVGO     ブロードコム
QCOM     クアルコム
TXN      テキサスインスツルメンツ
ASML     ASML
AMAT     アプライドマテリアルズ
LRCX     ラムリサーチ
KLAC     KLA
AAPL     アップル
MSFT     マイクロソフト
AMZN     アマゾン
GOOGL    アルファベット
META     メタ
TSLA     テスラ
FCX      フリーポート(銅)
CL=F     WTI原油先物
GC=F     金先物
HG=F     銅先物
